Name,RA,Dec,Class,Gmag
WISE J045451.56-670203.9,73.71486087,-67.03449727,EM,14.046777
WISE J045550.56-695807.0,73.96064126,-69.96861585,EM,13.954285
WISE J045719.13-673047.0,74.32924301,-67.51308989,EM,14.631564
WISE J050128.62-701120.2,75.36906072,-70.18897798,EM,13.878529
WISE J051038.76-642117.8,77.66149474,-64.35494331,EM,14.231917
WISE J052915.30-671259.8,82.31373943,-67.21661228,EM,13.706032
WISE J053001.84-664614.4,82.507758,-66.77070704,EM,13.860653
WISE J053323.01-673059.8,83.34596105,-67.51669867,EM,13.637502
WISE J053424.65-662557.5,83.60270395,-66.43266361,EM,13.660733
2MASS J05362506-7012222,84.10453183,-70.20618044,EM,16.012370999999998
WISE J110247.58-610632.9,165.69821683,-61.10915057,EM,11.111307
CPD-60  2585,167.55598776,-60.77541515,EM,9.750662
